Frog_ID,Ext_group,Date,Site,Observers,Start_time,End_time,Time_capture,Body temp,Habitat,Method_capture,SVL_mm,Tail_length_mm,Mass_frogandbag_g,Mass_bag_g,Mass_frog_g,Life_stage,Sex,Species,Swab,Photo,Notes,Extracted on,Extraction_notes,qPCR_plate,qPCR_date,qPCR_results_undiluted,wholeswab_ITS_copies_undiluted,qPCR_results_10dilution,qPCR_results_wholeswab_10dl,Bd_status,qPCR_Notes
220526-T01,1,5/26/22,Jewel Lake,A.Byrne R.Gooley,14:00,16:00,15:45,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220526-T02,1,5/26/22,Jewel Lake,A.Byrne R.Gooley,14:00,16:00,15:45,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220526-T03,1,5/26/22,Jewel Lake,A.Byrne R.Gooley,14:00,16:00,15:45,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220602-T01,1,6/2/22,Jewel Lake,A.Byrne R.Gooley,9:15,11:00,10:33,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220602-T02,1,6/2/22,Jewel Lake,A.Byrne R.Gooley,9:15,11:00,10:33,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220602-T03,1,6/2/22,Jewel Lake,A.Byrne R.Gooley,9:15,11:00,10:33,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,washed with AW2 2x before AW1,1,10/24/22,0,0,0,0,NEG,
220602-T04,2,6/2/22,Jewel Lake,A.Byrne R.Gooley,9:15,11:00,10:33,not measured,In water,dip net,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,,,10/13,,1,10/24/22,0,0,0,0,NEG,
220630-T06,2,6/30/22,Jewel Lake,A.Byrne,8:30,10:30,10:00,not measured,In water,trap,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,Y,,10/13,,1,10/24/22,0,0,0,0,NEG,
220630-T07,2,6/30/22,Jewel Lake,A.Byrne,8:30,10:30,10:00,not measured,In water,trap,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,Y,,10/13,,1,10/24/22,0,0,0,0,NEG,
220630-T08,2,6/30/22,Jewel Lake,A.Byrne,8:30,10:30,10:00,not measured,In water,trap,not measured,,not measured,not measured,not measured,metamorph,,P. regilla,1,Y,,10/13,,1,10/24/22,0,0,0,0,NEG,
220630-T09,2,6/30/22,Jewel Lake,A.Byrne,8:30,10:30,10:00,not measured,In water,trap,not measured,,not measured,not measured,not measured,tadpole,,P. regilla,1,Y,,10/13,,2,10/25/22,0,0,0,0,NEG,
220803-T01,2,8/3/22,Jewel Lake,A.Byrne R.Gooley,20:30,21:55,20:50,not measured,In water,net,111.8,,262,105,157,adult,female,R. catesbeiana,1,Y,,10/13,,2,10/25/22,0,0,0,0,NEG,
220803-T02,3,8/3/22,Jewel Lake,A.Byrne R.Gooley,20:30,21:55,20:52,not measured,In water,net,116,,480,250,230,adult,male,R. catesbeiana,1,Y,scar on right thigh,10/13,,2,10/25/22,0,0,0,0,NEG,
220803-T03,3,8/3/22,Jewel Lake,A.Byrne R.Gooley,20:30,21:55,21:00,not measured,In water,net,113.1,,465,300,165,adult,female,R. catesbeiana,1,Y,green mark behind R tympanum,10/13,,2,10/25/22,0,0,0,0,NEG,
220803-T04,3,8/3/22,Jewel Lake,A.Byrne R.Gooley,20:30,21:55,21:10,not measured,In water,net,132.1,,412,192,220,adult,male,R. catesbeiana,1,Y,,10/13,,2,10/25/22,0,0,0,0,NEG,
220803-T05,3,8/3/22,Jewel Lake,A.Byrne R.Gooley,20:30,21:55,21:20,not measured,on bank,hand,19.8,,10.5,9.5,1,adult,,P. regilla,1,Y,,10/13,,2,10/25/22,0,0,0,0,NEG,
